,sentiment scheme1,sentiment scheme2,cleaned_text
180,1,2,bakery morning the story
181,1,1,time temp c hum percent c bar rain today
182,1,1,we be hire read about our late job open here trade operation assistant it hong kong career arc
183,1,1,this job might be a great fit for you director senior director treasury finance hong kong hire
184,1,1,flour new century plaza
185,2,2,lovely advent calendar for myself 💖 💖 💖 count down for xmas again this year with delicious
186,1,2,the grand buffet
187,1,1,i be at ten s tea in hong kong
188,1,1,gage st wet market just by user gage street
189,2,2,may this prosperous world be as you wish happy national day mid autumn festival 🌻 kerry hotel hong kong
190,1,1,cart witness u u at tsim sha tsui promenade pic
191,1,1,it s when you spread truffle on a waffle just coffee in sheung wan
192,1,1,user u u u u u u
193,1,2,oh department and park see bing repeat star war park
194,1,2,the festival be come soon be it good to let the luxury fashion and environmentally friendly experience make a good start for this festival join us the game have a chance to win grand prize one night the land suite voyage in style
195,1,1,team u u u u u u repeat 📷 😍 repeat
196,1,2,last one the man mo temple lot of incense burning offering and prayer man mo temple
197,1,2,the most mexican shop in hong kong repeat en
198,1,2,excite for the upcoming in hong kong for art lover like me 🎨
199,1,1,t day mate repeat throwback stag bachelor brotherhood
200,1,1,i be at panda hotel in tsuen wan
201,1,1,i be at oliver s the delicatessen in central
202,1,1,just post a photo victoria harbour victoria harbour
203,1,2,election regulator debate on ban candidate from strategically quit election race
204,1,1,the man church worship be one single conference
205,1,1,still time hong kong international airport international airport
206,1,1,what central waterfront activity space central event space
207,1,1,just post a photo mommy egg causeway bay street shop
208,1,1,time temp c hum percent c bar rain today
209,1,1,black con with mushroom and black truffle 😍 😍 😍 sunday brunch alto alto
210,1,1,hi house building
211,1,1,my first visit at user first time lunch food rice bowl delicious food
212,1,1,time temp c hum percent c bar rain today
213,1,1,time temp c hum percent c bar rain today
214,1,1,just post a photo ocean park station
215,1,1,carnival at the harbour front kung hei fat choi colorful crazy ride spring not
216,1,2,young wild and free mall hong kong international finance mall
217,1,2,happy to go to work man yee build in central
218,1,1,interested in a job in hong kong this could be a great fit finance hire career arc
219,1,1,japanese gin from have you try when you be in
220,2,2,😋 godiva chocolate ice cream holiday international airport hong kong international airport
221,1,1,want to work in hong kong view our late opening project job job hire career arc
222,1,1,cocktail inspire by ad ab cocktail cocktail art cocktail bar cocktail theme
223,1,1,asian tourist feel asian john venture hong kong vacation
224,1,2,let the begin 🎂 🏆 🙈 see you all tonight at user one drink tonight yes
225,1,1,rock the high chair user she s grow too big beef liberty star street
226,1,2,user nice nail idea user book us at
227,1,2,chinese new year happy new year nail nail user nice nail idea user
228,1,1,i just finish walk in h m s with
229,1,1,time temp c hum percent c bar rain today
230,1,1,dom standard hong kong adventure play
231,1,2,sound and safe hong kong international airport user in island district hong kong
232,1,1,bizarre lunch u u f u u shake em bun
233,1,1,head down and work when i be not in a studio i like to improvise move which can be
234,1,1,i be busy until i don t know what time it be so i can take time to go to the little country tonight laugh down and relax thank you hong kong academy for perform art
235,1,1,interested in a job in hong kong this could be a great fit business hire career arc
236,1,1,dress from north city worth philippine peso u spa
237,1,1,time temp c hum percent c bar rain today
238,1,1,time temp c hum percent c bar rain today
239,1,2,welcome the korean star of the year kerry hotel hong kong
240,1,1,this guy have a huge corn on his roof big corn weird tai wai little red riding hood
241,1,1,i be at tin hau station in tin hau hong kong
242,1,2,street food 💚 👍 food food gram food be life street food when in hong kong
243,1,1,like us on for more photo steven s world of photography
244,1,1,can you recommend anyone for this job assistant administrative officer of customer experience strategic repeat
245,1,1,get there model sam tailor sam s tailor
246,1,1,time temp c hum percent c bar rain today
247,1,1,now to head back down repeat entrepreneur entrepreneur ship dream hustle photo of the day
248,1,1,when your dim sum have an accident hong kong she wan dim sum green tea
249,1,1,time temp c hum percent c bar rain today
250,1,1,i be at in central hong kong
251,1,1,time temp c hum percent c bar rain today date
252,1,2,😄 u double jump u 😄 fly friday hong kong life live the dream catch me if you can happy
253,1,1,time temp c hum percent c bar rain today
254,1,0,we be wait and wait for dinner repeat bore repeat hollywood square
255,1,1,can you recommend anyone for this job in hong kong business hire career arc
256,1,1,time temp c hum percent c bar rain today date
257,1,2,with tung dennis and at
258,2,2,get this bound by
259,2,2,child can swim very young and even participate in the competition rely on their own effort coach and parent support swim coach swim contest morse park swim pool
260,1,1,i be at diamond hill station in diamond hill
261,1,1,i be at gurkha
262,1,1,if you want to stay be an abnormal
263,1,1,just post a photo heritage
264,1,2,my hong kong travel guide be finally live on the i completely underestimate how long
265,1,2,time temp c hum percent c bar rain today
266,1,1,beautiful morning rarely happen in hong kong due to the pollution hong kong morning conrad
267,1,1,star island
268,2,2,😕 😕 😕 😕 😕 🤓 🤓 🤓 🤓 🤣 🤣 🤣 repeat photo by user 😙 😙 😙 new begin new jay bobby song
269,1,1,want to work at we be hire in hong kong click for detail job job career arc
270,1,1,why be my rainbow but more than youthful you can t beat the clock but the minute hand be struggle to move don t touch rainbow pizza gin apricot watermelon grapefruit
271,1,2,another great dining experience user user pierre user
272,1,2,iced hibiscus tea with pomegranate pearl repeat free upgrade to 😙 hibiscus
273,2,2,🌤 hong kong harbour grand kowloon
274,1,2,hair stylist sister help cut hair 🐶 💇 hair stylist sister help cut hair 🐶 💇 phoenix art for hair
275,1,2,have some chicken wing today to keep monday blue away boom shack
276,1,2,see our late hong kong job and click to apply it operation performance project hire
277,1,2,i be at our restaurant in mong kok
278,1,1,just post a photo temple street hong kong
279,1,2,do thrift do thrift do thrift outback mid autumn festival girl daily good food dinner lantern
280,1,2,steam pork dumpling shanghai style sun sun restaurant
281,1,2,u u lunch for a find alice word of the day central hong kong date
282,1,1,just post a photo lan kwai fong ad
283,1,2,red and black milan be finally back in create sha tsui
284,1,2,bubbly time repeat ed ed ab ed ed ed ed aa ed ed ed ed ad ed ed ba hong kong travel
285,1,1,paint the city in all color 🎨 soho central
286,1,1,i be at sunlight tower
287,1,1,ad eternal life hong kong science museum
288,2,2,end the easter holiday with gourmet food dream shop that tower
289,2,2,good luck 🍀
290,1,2,hong kong note photo brother be good ❤ square hollywood
291,1,2,star vote for beautiful user island
292,1,1,join the team see our late job open here landscape architecture job hong kong hire career arc
293,2,2,thank you leader from heart of god church come to hong kong and bless hong kong church ed ed 🙏 ed ed u d
294,1,1,can you recommend anyone for this job in hong kong marketing hire career arc
295,1,2,posterize style of hawk full sleeve work in progress female tattooist full sleeve
296,1,2,every friday fly meal later a cup of coffee can be refresh after the stagnation have a lot of coffee or tea in the first class coffee have italian illy
297,1,1,female disciple statue give offering to big buddha big buddha island hong kong
298,1,1,see our late hong kong job and click to apply senior manager stress test and project finance
299,1,1,i be at brand in central district
300,1,1,i be at brand in central district
301,1,1,i be at international airport user in island district hong kong
302,1,1,i be at temple street night market in yau ma tei hong kong
303,1,1,i be at store in tsim sha tsui
304,1,2,first overnight in this office express hong kong outlet
305,1,1,cecily brown at the arcadia gallery
306,2,2,happy sunday 🙏 repeat at element
307,1,1,i be at bound by in sham shui po
308,1,2,i have be really lucky to meet great filipino yogi during my travel cheer to the
309,1,2,here we be repeat 🌲 u u u 👑 🌹 💋 🍎 💎 late post spontaneous special bless bright side love happy
310,1,1,m elongate potato at in central if you take a pic share it and check in repeat you get
311,1,1,may ward heart on fire be now trend in hong kong
312,1,1,just post a photo peak of dragon s back u u a
313,1,1,oven bake lobster an original dish create by 😻
314,1,2,just post a video bar lounge
315,1,1,i be at general administration of post in central
316,1,1,can you recommend anyone for this job associate director senior manager web and mobile development it
317,1,2,too much snack be not good for you but they sure taste good store
318,1,1,u u b u u piazza u u eighth course piazza fruit and vegetable soup a very nice
319,1,2,h a z e cityscape architecture sunny winter s harbour element the
320,1,2,part time job 😆 😆 😆 modest fashion fashion beauty street
321,1,1,the big sad laugh of the night be the line it sort of feel to me like we be all about to
322,2,2,the system be both but it be definitely an opportunity for long term knowledge and experience thank you 🙏 💪 the system be both but it be definitely an opportunity for long term knowledge and experience thank you 🙏 💪 the system be both but it be definitely an opportunity for long term knowledge and experience thank you 🙏 💪 central waterfront activity space central event space
323,1,1,switch all gold computer mall in sham shui po
324,1,1,we be hire click to apply landscape design professional landscape architecture job hong kong career arc
325,1,1,i be at plaza in admiralty central and western district
326,1,1,i be at member bar the hong kong club
327,1,2,nice place 💪 😎 💪 😎 hot pot specialty store together can
328,1,2,when you see the canal you will know that it be a cheese fondue the swiss chalet
329,1,1,user you do this repeat you actually do this you utter fruit loop be you drop repeatedly on your head i assume as a child
330,1,2,final meal before i head off at with my family 🙂 fish ball and fish cake such a
331,1,1,visit a place you have never be before wing sing lane
332,1,1,one of chef user many inventive creation veal cheek cook hour with sweetbread
333,1,1,society hong kong wan chai district
334,1,1,i be at s cantina in central w user user
335,1,2,new 📢 return black u u actually it s in sesame flavour 😂 interest return coffee house
336,1,2,a female evil article the reopen porterhouse be the most memorable thing for a woman to be a soft milk cheese the soft cheese with a big face have a strong milky fragrance and then it be golden the cheese be slightly crispy and savory it taste soft and tough it be very satisfy with pumpkin squash grill repeat
337,1,1,i be at ba ad in causeway bay
338,1,0,autism paint studio
339,1,1,i be at hong kong station in central
340,1,1,can you recommend anyone for this job manager senior manager project investment operation
341,1,2,an afternoon of well be with user 🙏 ed ed repeat go world club
342,1,2,a female drinking section liquor have always have his value the classic the best cocktail s bitterness the spicy wine combine with the freshness of the orange peel gather sweet bitter and fragrant enrich the level of wine so the classic be always intrigue repeat
343,2,2,beautiful end u u 🌅 repeat good sunset mother nature natural beauty
344,1,1,grand hall the university of hong kong
345,1,2,rainy read repeat rainy day bookworm life of a elixir
346,1,2,conquer the lady market 😍 travel hong kong travel gram philippine
347,2,2,while the simple food be always my personal preference i love it when chef get creative and
348,1,1,why you shut today food stall you make my day off a colorful mess at faithfulness pay
349,1,1,anyone need a mid week drink boom shack
350,1,1,at the bar award hong kong repeat neon pigeon represent plus employee only of course wink
351,1,2,at my happy place look at these color cable organizer street flea market
352,1,2,a female dessert article dessert be an infinite universe ever change the scorpion and the cream be make into a mouse with a thick and smooth taste like ice cream cake fragrant sweet thick slippery repeat food
353,1,1,all you can eat eastern cooking
354,1,1,we be hire read about our late job open here system analyst c net it hong kong career arc
355,1,1,u u e u e u u d u jimmy s kitchen central
356,1,2,my x mas present from him 💕 dinner at 😍 😋 steak 🥩 rib
357,1,1,if you be look for work in hong kong check out this job business hire career arc
358,1,2,no wonder home sweet home ama
359,1,2,user how be school today just
360,1,1,time temp c hum percent c bar rain today
361,1,1,time temp c hum percent c bar rain today date
362,1,1,wander along the waterfront hong kong hong kong cultural
363,1,2,part of my kodak tra brief be no or food shot i love bamboo she get in the
364,1,2,this be go to see the late theme exhibition in the face who know that the holiday be close and i find an interesting piece of work installation art otto boll
365,1,1,one of the more hike in hong kong steep incline and not for
366,1,0,miss you sis
367,1,2,read the new it book that i buy for myself for a belated birthday present so far it be
368,1,2,last day of class with these special guest hong kong red cross hong kong red cross
369,1,0,time temp c hum percent c bar rain today
370,1,1,of escalator and walkway system one of a kind central mid level escalator and walkway system
371,1,1,nail also prepare for nail album year of rooster 🐔 lune beauty
372,1,0,can you please stop puke blood gotham gotham sick kitty mei foo veterinary hospital
373,1,1,repost i love the confidence my tailor have while plan a new suit
374,1,1,just in hong kong court reject bank application to intervene in gay right case
375,1,1,i be at ocean park station in wong chuk hang hong kong
376,1,2,family dinner in repeat celebrate uncle s 🎉 🎉 🎉 chuk yuen restaurant
377,1,1,just post a photo broadway broadway film center
378,1,2,shooting be sometimes like dancing or surf when you get on a wave 🌊 and do your best to stay
379,0,0,hey dead eye be close only a la thousand of prayer be good scar to death hong kong museum of history
380,1,1,time temp c hum percent c bar rain today
381,1,2,dip pickle pita fantastic set lunch healthy choice meat free monday the
382,1,1,that amaze hong kong victoria harbour
383,1,1,in fact the plastic cup be really suitable for write on the wild repeated observatory road
384,1,1,see gas festival walk in kowloon tong hong kong
385,1,2,straight out of a magazine cover 😏 cotillion crew r
386,2,2,shanghai have a super fun time celebrate the opening of w shanghai with user
387,1,1,want to work at travel we be hire in hong kong click for detail customer service job
388,1,1,land survey the hong kong polytechnic university
389,2,2,thank you 😚 🎞 yeah take bella to the theater for the first time 😚 🎞 yeah take bella to the theater for the first time 🎥 🎦 bella be so good to concentrate on the whole process because the protagonist mary be so good 🎥 🎦 bella be so good to concentrate on the whole process because the protagonist mary be so good 🗣
390,1,1,i be at in tsim sha tsui
391,2,2,be every second minute hour and day saturday explore pit stop
392,1,2,elongate amazing elongate greyhound
393,1,1,same frank minus that part about the english gentry 💂 ed ed cognac
394,1,1,this job might be a great fit for you deposit investment assistant manager it hong kong hire
395,2,2,up up here we go 🚡 🚡 🚡 width er discover hong kong ping cable car ping cable car
396,1,1,just post a photo hong kong observation wheel
397,1,1,the only to release the stress be embrace it sweetheart repeat me day pic
398,1,0,lose w assistant mong kok hong kong
399,1,2,more day until user go down the rabbit hole see you on the dance floor 😎 play
400,1,2,surprise indonesian give this today 😭 😭 😭 she love me
401,1,1,time temp c hum percent c bar rain today
402,1,1,we be hire read about our late job open here central cash clerk it hong kong career arc
403,1,1,have i post this year ago concert t sue an hong kong
404,1,1,double boil whole winter melon with assorted and sea conch at spring moon restaurant
405,1,1,famous tower bank of china tower
406,1,1,we be hire read about our late job opening here senior manager engineer month contract it
407,1,1,not everything s black white 🌘 repeat hong kong u u u u march u u u
408,1,1,we be hire read about our late job open here associate director risk management financial repeat
409,1,2,one of the few place remain in hong kong that have this kind of road all thing must come
410,1,2,team lunch happy friday weekend be here central plaza
411,1,1,time temp c hum percent c bar rain today
412,1,1,time kennedy town
413,1,0,always too lazy to cook my food ed ed 🥗 residence in hong kong
414,1,1,i be at user in central
415,1,2,rustic italian love their homemade spaghetti with king crab sea urchin octopus and
416,1,2,awesome dinner with awesome friend 🙌 ed ed yes user user user
417,1,2,one more wall s animal eddie kang forever young solo show art exhibition chang fine art
418,1,1,you can leave hong kong but it will never leave you tsim sha tsui hong kong
419,1,1,time temp c hum percent c bar rain today
420,2,2,happy birthday repeat an dong grandma chicken
421,1,1,ambiguously yours gender in hong kong popular culture m pavilion hong kong ambiguously yours
422,1,2,mille feuille by so good repeat 🍵 u u u ce olympian city
423,1,1,my colleague ask me if i buy it
424,1,1,friend check their social medium in social room central hong kong hong kong
425,1,1,add leave a few special lunch vegetarian vegetarian mummy
426,1,1,jupiter mar yuen long district
427,1,2,today s full moon on the way back to the house go back through the shadow bury channel so beautiful 😍 😍 😍 😍 full moon yuan chau street
428,1,2,stroll around mong kok lady market elaine s travel diary
429,1,2,may ward love be now trend in hong kong
430,1,1,check out this wicked tongue pierce repeat i do the side tongue piercing sometimes
431,2,2,from with love central hong kong
432,1,2,have a card coat repeat 🤣 bold italic
433,1,1,see our late hong kong job and click to apply manager customer relationship management marketing marketing
434,1,1,early starter no squash on the mend sai ying pun courtyard
435,1,1,i be at as simple as possible in city one
436,1,1,we be hire click to apply information security manager it hong kong job job career arc
437,1,1,movie interview scar get out telford in kowloon bay
438,1,1,that island in the middle though repeat hong kong south horizon island south horizon lei chau
439,1,2,fry potato chip other
440,1,1,carrie the carnivore try the butcher club
441,1,1,i be at s s in toss general
442,2,2,you be a wonder good movie 🎥 🍿 🎥 🍿 👍 broadway the one broadway the one theater
443,1,1,wire and bury in the real time
444,1,1,fever be rock at bar join us now and dance drink network and make
445,1,1,hong kong u grapefruit chocolate
446,1,1,wednesday client lunch chinese lunch superb venue china club hong kong superb meal
447,1,2,anniversary eve special day love you three repeat beautiful flower mall hong kong international finance mall
448,1,1,want to work in hong kong view our late opening finance job job hire career arc
449,1,2,starfish snack anyone u u repeat starfish culture hong kong snack chinese food weird food
450,1,1,time temp c hum percent c bar rain today
451,1,1,just post a photo tea
452,1,2,hong kong it s be short but fun but now it s time for me to go back home to u u ed ed ed ed ad
453,1,2,cloud of storm rider plus many more life like colorful sculpture of asian comic star on
454,1,2,dont lose hope when the sun go down repeat the star come out don t stop believe don t lose hope
455,1,1,want to work at we be hire in hong kong click for detail market job job career arc
456,1,1,just post a photo the center
457,1,2,u harbour city
458,2,2,thank you my teammate birthday dinner dinner
459,1,1,we be hire read about our late job open here lead agent customer service
460,1,1,signatory vintage age year butler whisky the butler japanese bar tsim sha tsui
461,1,1,street mall hong kong international finance mall
462,1,1,time temp c hum percent c bar rain today date
463,1,1,event be now live at the financial innovation summit the
464,1,1,building quarry bay monster building hong kong discover hong kong
465,1,1,see our late hong kong job and click to apply manager engineer month contract it hire
466,1,1,can you recommend anyone for this job in sale hire career arc
467,1,2,i be there miss the city 🙄 central hong kong u u u u
468,1,1,time temp c hum percent c bar rain today date
469,1,2,want to eat chicken rice a plus kitchen in sai ying pun
470,2,2,cheer ed ed eyebar
471,1,1,love at the first sight u
472,1,1,i be at brick lane in hong kong
473,1,2,around the peak of dragon s back 😆 🐉 that s definitely on my bucket list 🙌
474,1,1,new shade user nice nail idea user book us at
475,1,2,soil and stone soul and song parasite project hong kong exhibition art week hong kong
476,1,2,one of my piece at the van l arche de no exhibit design by
477,1,2,law s house a former hakka village house estimate the house be construct in the mid
478,1,1,this job might be a great fit for you assistant actuarial manager actuarial manager model risk repeat
479,2,2,happy v day u u i do not need 💐 i do not need expensive gift i just need to be with my love
480,1,2,superb taste for our date night dinner ed ed ed ed 👌 restaurant
481,1,2,this job might be a great fit for you legal negotiator legal hong kong hire career arc
